Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
One Piece,"Animation, Action, Adventure",8.9,"1,87,689",24 min,(1999– ),"Mayumi Tanaka,Laurent Vernin,Akemi Okamura,Tony Beck",TV-14,,187689,0,
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure",7.4,"28,895",99 min,-2023,,PG,74,28895,0,
The Super Mario Bros. Movie,"Animation, Adventure, Comedy",7.1,"1,89,108",92 min,-2023,,PG,46,189108,0,
Attack on Titan,"Animation, Action, Adventure",9.1,"4,34,457",24 min,(2013–2023),"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikawa",TV-MA,,434457,0,
Jujutsu Kaisen,"Animation, Action, Adventure",8.5,"82,909",24 min,(2020– ),"Junya Enoki,Yûichi Nakamura,Adam McArthur,Yuma Uchida",TV-MA,,82909,0,
Bleach: Thousand-Year Blood War,"Animation, Action, Adventure",9.1,"28,587",24 min,(2022– ),"Johnny Yong Bosch,Masakazu Morita,Stephanie Sheh,Richard Epcar",TV-MA,,28587,0,
Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",8.6,"1,31,667",24 min,(2019– ),"Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô",TV-14,,131667,0,
Puss in Boots: The Last Wish,"Animation, Adventure, Comedy",7.8,"1,53,495",102 min,-2022,,PG,73,153495,0,
Bleach,"Animation, Action, Adventure",8.2,"64,528",24 min,(2004–2023),"Johnny Yong Bosch,Michelle Ruff,Stephanie Sheh,Jamieson Price",TV-14,,64528,0,
Miraculous: Tales of Ladybug & Cat Noir,"Animation, Action, Adventure",7.5,"14,322",20 min,(2015– ),"Cristina Valenzuela,Bryce Papenbrook,Keith Silverstein,Max Mittelman",TV-Y7,,14322,0,
